"","Taxonomic_ID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Sig","lab","xvals","yvals","Superkingdom","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"3318","3318",8779.14113892351,0.482037760152584,0.714535925117069,0.511951721810589,0.608684798350163,0.999599735494037,"NS",NA,0.482037760152584,0.608684798350163,"Eukaryota","Viridiplantae","Streptophyta","Pinopsida","Pinales","Pinaceae",NA,NA
"3386","3386",4.59934261996978,-0.437662463688226,0.869871304096774,-0.595241813235059,0.551681844201235,0.999599735494037,"NS",NA,-0.437662463688226,0.551681844201235,"Eukaryota","Viridiplantae","Streptophyta","Gnetopsida","Ephedrales","Ephedraceae",NA,NA
"3401","3401",12.1598737349378,-0.381674313996205,0.842773241862814,-0.463668514740116,0.642885258279753,0.999599735494037,"NS",NA,-0.381674313996205,0.642885258279753,"Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Magnoliales","Magnoliaceae",NA,NA
"3440","3440",7.89125408641157,0.558665684342148,0.788819486498162,0.682950810487398,0.494637925548203,0.999599735494037,"NS",NA,0.558665684342148,0.494637925548203,"Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Ranunculales","Ranunculaceae",NA,NA
"3465","3465",2617.32985718219,0.794775376661911,0.799713316713714,1.40436569951241,0.160209979414544,0.999599735494037,"NS",NA,0.794775376661911,0.160209979414544,"Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Ranunculales","Papaveraceae",NA,NA
"3487","3487",28.0702157990327,0.788671045540874,0.762680255288426,1.10186539501264,0.270520194930185,0.999599735494037,"NS",NA,0.788671045540874,0.270520194930185,"Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Rosales","Moraceae",NA,NA
"3503","3503",86.8680972784746,0.571557268439366,0.725663385905849,0.788852817093553,0.430198035346356,0.999599735494037,"NS",NA,0.571557268439366,0.430198035346356,"Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Fagales","Fagaceae",NA,NA
"3514","3514",6.50855824906306,0.143375464457494,0.811947032653069,0.179561883598769,0.857496530711132,0.999599735494037,"NS",NA,0.143375464457494,0.857496530711132,"Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Fagales","Betulaceae",NA,NA
"3542","3542",2.58830678312105,0.441155802812392,0.86793919384076,0.475098462707318,0.63471679417651,0.999599735494037,"NS",NA,0.441155802812392,0.63471679417651,"Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Caryophyllales","Aizoaceae",NA,NA
"3568","3568",1.51477645337302,0.0697349416261539,0.857250011386092,0.120149821108223,0.904364466673585,0.999599735494037,"NS",NA,0.0697349416261539,0.904364466673585,"Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Caryophyllales","Caryophyllaceae",NA,NA
"3602","3602",204.125872420284,0.461980370943536,0.714338314785007,0.635691409960962,0.524977576360632,0.999599735494037,"NS",NA,0.461980370943536,0.524977576360632,"Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Vitales","Vitaceae",NA,NA
"3608","3608",5.50587906872677,-0.455270814891837,0.859005845885199,-0.606488412694953,0.544190474506439,0.999599735494037,"NS",NA,-0.455270814891837,0.544190474506439,"Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Rosales","Rhamnaceae",NA,NA
