"","Taxonomic_ID"
"1","468"
"2","481"
"3","543"
"4","641"
"5","942"
"6","3318"
"7","3465"
"8","3503"
"9","3602"
"10","3700"
"11","3928"
"12","3931"
"13","4056"
"14","4136"
"15","4210"
"16","4479"
"17","7135"
"18","10744"
"19","21910"
"20","24079"
"21","28556"
"22","31957"
"23","31977"
"24","32033"
"25","33925"
"26","40552"
"27","69450"
"28","80864"
"29","81850"
"30","83869"
"31","267890"
"32","742845"
"33","1240483"
"34","1570301"
"35","1903410"
"36","1903411"
"37","16714"
"38","1570339"
