"","Taxonomic_ID","DirectSM_H4","DirectSM_H5","DirectSM_H6","DirectSM_H7","SM_H4","SM_H5","SM_H6","SM_H7"
"296","122809",1.25077812830869,0,2.01261064198766,1.63767277347968,3.24968689056005,0.741774394278697,4.95482592863885,0
"297","125216",1.25077812830869,0,0,0,0.64993737811201,0,0,0
"298","126747",31.2694532077172,0,0,0,35.7465557961605,0,0,0
"299","132116",3.75233438492606,0,0,0,3.89962426867206,0,1.65160864287962,0
"300","137301",16.2601156680129,0.735730801734519,1.34174042799177,0,3.89962426867206,0,1.65160864287962,0
"301","140034",138.836372242264,0,0,0,184.582215383811,0,0,0
"302","141608",1.25077812830869,0,0.670870213995887,0,0,0,0.825804321439809,0
"303","146937",1.25077812830869,0,0,0,0,0,1.65160864287962,0
"304","148959",6.25389064154343,0,0,0,3.24968689056005,0,0,0
"305","149698",11.2570031547782,0,0,0,3.89962426867206,0,2.47741296431943,3.74659673552725
"306","154674",1.25077812830869,0,0,0,0.64993737811201,0,0,0
"307","160674",21.2632281812477,0.735730801734519,0,3.27534554695937,12.9987475622402,0.741774394278697,0.825804321439809,0
"308","162291",5.00311251323475,0,0,0,1.94981213433603,0,0,0
"309","162638",1.25077812830869,0,0,0,0,0,0,0
"310","162790",12.5077812830869,0.735730801734519,1.34174042799177,0,13.6486849403522,0,3.30321728575924,0
"311","165695",1.25077812830869,97.1164658289565,0.670870213995887,0,0.64993737811201,8.90129273134437,3.30321728575924,0
"312","165696",1.25077812830869,21.3361932503011,0,0,3.24968689056005,0.741774394278697,4.12902160719904,0
"313","166331",7.50466876985212,0,0,0,7.14931115923211,0,0,0
"314","170610",1.25077812830869,0,0,0,0,0,0,0
"315","186650",1.25077812830869,0,0,0,0,0,0,0
"316","192258",1.25077812830869,0,0,0,0,0,0,0
"317","196082",1.25077812830869,0,0,0,0,0,0,0
"318","216851",1.25077812830869,0.735730801734519,2.68348085598355,0,0,0,0,0
"319","217164",1.25077812830869,0,2.01261064198766,1.63767277347968,0,0.741774394278697,0.825804321439809,3.74659673552725
"320","220872",1.25077812830869,0,0,0,0,0,0,0
"321","260125",1.25077812830869,2.94292320693808,0,0,0,11.1266159141805,0,0
"322","308865",1.25077812830869,0,0,0,0,4.45064636567218,0,0
"323","320496",15.0093375397042,0,0,0,10.3989980497922,0,0,0
"324","323449",1.25077812830869,0,0,0,0,0,0,0
"325","337184",1.25077812830869,0,0,0,0.64993737811201,0,0,0
"326","369248",12.5077812830869,0,0.670870213995887,1.63767277347968,21.4479334776963,0.741774394278697,0,0
"327","371959",42.5264563624953,0,0,0,23.3977456120324,0,0,0
"328","407287",1.25077812830869,0,0,1.63767277347968,0,0,0,0
"329","413496",2.50155625661737,0.735730801734519,0,0,1.29987475622402,0,0,0
"330","449632",13.7585594113955,0,0,0,9.74906067168015,0,0,3.74659673552725
"331","468162",3.75233438492606,0,0,0,1.94981213433603,0,0,0
"332","507510",1.25077812830869,0,0.670870213995887,0,0.64993737811201,0,0.825804321439809,0
"333","553462",46.2787907474214,1.47146160346904,1.34174042799177,3.27534554695937,39.6461800648326,0.741774394278697,2.47741296431943,0
"334","558016",2.50155625661737,0,0,0,3.24968689056005,0.741774394278697,0,0
"335","559173",3.75233438492606,11.0359620260178,9.39218299594241,21.2897460552359,11.6988728060162,3.70887197139349,14.0386734644767,0
"336","568987",10.0062250264695,0,2.68348085598355,0,22.7478082339203,0.741774394278697,1.65160864287962,0
"337","604375",1.25077812830869,0,0,0,0,0,0,3.74659673552725
"338","670516",1.25077812830869,0,0.670870213995887,0,0,0,0,3.74659673552725
"339","680682",2.50155625661737,0,0,0,0,0,0,3.74659673552725
"340","688353",1.25077812830869,0,0,0,0,0,0,0
"341","929812",6.25389064154343,0,0,0,3.89962426867206,2.22532318283609,0,0
"342","1003260",18.7616719246303,2.20719240520356,0.670870213995887,3.27534554695937,9.09912329356814,0,1.65160864287962,0
"343","1079922",20.012450052939,108.888158656709,35.556121341782,299.694117546782,35.0966184180485,788.506181118255,37.9869987862312,71.1853379750178
"344","1193503",20.012450052939,194.232931657913,57.6948384036462,224.361169966717,47.4454286021767,2155.59638977389,52.0256722507079,11.2397902065818
