"","Taxonomic_ID","cluster","df$Taxonomic_ID","Superkingdom","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"13","1193515",4,"1193515","Bacteria",NA,"Proteobacteria","Betaproteobacteria","Neisseriales","Neisseriaceae","Snodgrassella",NA
"18","1335631",4,"1335631","Bacteria",NA,"Proteobacteria","Gammaproteobacteria","Orbales","Orbaceae","Frischella",NA
"20","3468",4,"3468","Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Ranunculales","Papaveraceae","Papaver",NA
"22","3877",4,"3877","Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Fabales","Fabaceae","Medicago",NA
"24","1912216",4,"1912216","Bacteria",NA,"Actinobacteria","Actinobacteria","Propionibacteriales","Propionibacteriaceae","Cutibacterium",NA
"30","1193503",4,"1193503","Bacteria",NA,"Proteobacteria","Gammaproteobacteria","Orbales","Orbaceae","Gilliamella",NA
"34","1301",4,"1301","Bacteria",NA,"Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus",NA
"36","55193",4,"55193","Eukaryota","Fungi","Basidiomycota","Malasseziomycetes","Malasseziales","Malasseziaceae","Malassezia",NA
"40","1716",4,"1716","Bacteria",NA,"Actinobacteria","Actinobacteria","Corynebacteriales","Corynebacteriaceae","Corynebacterium",NA
