"","Taxonomic_ID","DirectSM_H4","DirectSM_H5","DirectSM_H6","DirectSM_H7","SM_H4","SM_H5","SM_H6","SM_H7","Superkingdom","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"41","20339",111,0,0,0,76,0,0,0,"Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Fabales","Fabaceae","Ceratonia",NA
"42","22662",3,0,58,146,1,0,142,52,"Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Myrtales","Lythraceae","Punica",NA
"43","46580",11,5,25,56,5,1,6,450,"Eukaryota","Metazoa","Platyhelminthes","Cestoda","Diphyllobothriidea","Diphyllobothriidae","Spirometra",NA
"44","49800",135,0,1,0,82,0,1,4,"Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Fabales","Fabaceae","Cercis",NA
"45","53335",1910,81,623,165,2526,297,2566,315,"Bacteria",NA,"Proteobacteria","Gammaproteobacteria","Enterobacterales","Erwiniaceae","Pantoea",NA
"46","55193",6,553,44,39,12,144,11,333,"Eukaryota","Fungi","Basidiomycota","Malasseziomycetes","Malasseziales","Malasseziaceae","Malassezia",NA
"47","55512",80,84,85,33,42,127,93,4,"Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Sapindales","Anacardiaceae","Pistacia",NA
"48","58859",81,0,5,0,70,1,2,0,"Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Fabales","Fabaceae","Tamarindus",NA
"49","62624",34,59,52,52,63,30,69,22,"Eukaryota","Metazoa","Arthropoda","Arachnida","Mesostigmata","Varroidae","Varroa",NA
"50","82986",502,54,367,116,1176,251,1146,67,"Bacteria",NA,"Proteobacteria","Gammaproteobacteria","Enterobacterales","Erwiniaceae","Tatumella",NA
"51","84565",38011,10,28,11,39699,247,32,191,"Bacteria",NA,"Proteobacteria","Gammaproteobacteria","Enterobacterales","Pectobacteriaceae","Sodalis",NA
"52","117248",35,24,103,20,118,17,87,4,"Eukaryota","Metazoa","Arthropoda","Insecta","Hymenoptera","Apidae","Habropoda",NA
"53","140034",139,0,0,0,185,0,0,0,"Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Lamiales","Bignoniaceae","Tecomaria",NA
"54","1079922",20,109,36,300,35,789,38,71,"Bacteria",NA,"Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","Commensalibacter",NA
"55","1193503",20,194,58,224,47,2156,52,11,"Bacteria",NA,"Proteobacteria","Gammaproteobacteria","Orbales","Orbaceae","Gilliamella",NA
"56","1193515",4,207,15,31,19,260,47,37,"Bacteria",NA,"Proteobacteria","Betaproteobacteria","Neisseriales","Neisseriaceae","Snodgrassella",NA
"57","1335631",46,1151,131,319,121,7988,129,11,"Bacteria",NA,"Proteobacteria","Gammaproteobacteria","Orbales","Orbaceae","Frischella",NA
"58","1602345",108,21,25,113,200,36,53,94,"Bacteria",NA,"Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","Parasaccharibacter",NA
"59","1654741",78,31,33,139,101,48,63,105,"Bacteria",NA,"Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","Bombella",NA
"60","1912216",15,1534,129,79,24,469,34,532,"Bacteria",NA,"Actinobacteria","Actinobacteria","Propionibacteriales","Propionibacteriaceae","Cutibacterium",NA
"61","15367",0,1,3,426,0,7,3,82,"Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Poales","Poaceae","Brachypodium",NA
