,Method,Season,Hive
DirectSM_H4,Direct_SM,November,4
DirectSM_H5,Direct_SM,May,5
DirectSM_H6,Direct_SM,July,6
DirectSM_H7,Direct_SM,July,7
SM_H4,SM,November,4
SM_H5,SM,May,5
SM_H6,SM,July,6
SM_H7,SM,July,7
