"","Taxonomic_ID","DirectSM_H4","DirectSM_H5","DirectSM_H6","DirectSM_H7","SM_H4","SM_H5","SM_H6","SM_H7"
"177","33069",5.06337775912189,32.8081446039143,22.7399070792938,13.8123934316411,0.511086348384198,12.6830351079955,68.242104596332,32.9446544034952
"178","33074",34.1777998740727,0.937375560111837,4.78734885879869,27.6247868632823,19.9323675869837,2.20574523617312,2.39445981039762,10.9815514678317
"179","33959",1.26584443978047,0,0,0,0,0,0.598614952599404,0
"180","33968",1530.40592769459,0,15.5588837910957,18.9920409685065,1126.94539818716,2.20574523617312,29.9307476299702,65.8893088069903
"181","34038",0,0,0,0,0,0,0.598614952599404,0
"182","34305",2.53168887956094,9.37375560111836,12.5667907543466,15.5389426105963,1.53325904515259,6.61723570851937,5.38753457339463,10.9815514678317
"183","34344",2.53168887956094,0,0,0,0.511086348384198,0,0,0
"184","34638",1.26584443978047,0,0,0,0,0,0,0
"185","35703",1.26584443978047,0,0,0,4.59977713545778,0,0,0
"186","36014",1.26584443978047,0,0,0,0.511086348384198,0,1.19722990519881,0
"187","36050",1.26584443978047,0,0,0,0,0,0,0
"188","36809",1.26584443978047,0,0.598418607349836,0,0,0,0,0
"189","36914",0,0,0,0,0,0,0,0
"190","37734",3.79753331934142,0,0,1.72654917895514,1.0221726967684,0,0,0
"191","37928",1.26584443978047,0,0.598418607349836,0,0.511086348384198,0,0,0
"192","38018",135.445355056511,37.4950224044735,77.1960003481288,63.8823196213402,381.270415894612,77.2010832660594,77.8199438379225,5.49077573391586
"193","39367",2.53168887956094,0,0,0,0,0,0,0
"194","40214",22.7851999160485,16.8727600820131,14.9604651837459,15.5389426105963,13.2882450579892,1.65430892712984,44.8961214449553,159.23249628356
"195","40216",16.4559777171461,0,0.598418607349836,0,56.730584670646,0,0,0
"196","40324",2.53168887956094,1.87475112022367,2.39367442939934,5.17964753686542,1.0221726967684,0,12.5709140045875,10.9815514678317
"197","42229",2.53168887956094,0.937375560111837,0,3.45309835791028,0.511086348384198,6.61723570851937,0,0
"198","42345",2887.39116713926,71.2405425684996,274.674140773575,234.810688337899,1442.79676148859,8943.19406006394,170.006646538231,38.435430137411
"199","43263",2.53168887956094,1.87475112022367,0,0,0,0,1.19722990519881,0
"200","43663",0,0,0,0,0,0,0,0
"201","43669",0,0,0,0,0,0,0,0
"202","43879",1.26584443978047,1.87475112022367,1.79525582204951,0,1.53325904515259,1.10287261808656,0,5.49077573391586
"203","45172",1.26584443978047,0,1.19683721469967,0,2.04434539353679,0,2.99307476299702,0
"204","45325",36.7094887536337,0,4.78734885879869,1.72654917895514,21.9767129805205,1.10287261808656,2.99307476299702,0
"205","45351",1.26584443978047,0,0,0,0,0,0,0
"206","46256",1.26584443978047,0,0,0,5.11086348384198,0,0,0
"207","46257",3.79753331934142,0,1.19683721469967,0,1.0221726967684,0,5.38753457339463,0
"208","46367",8.8609110784633,0,1.19683721469967,0,3.06651809030519,1.10287261808656,0,0
"209","47885",1686.10479378759,1.87475112022367,19.7478140425446,8.6327458947757,953.17603973653,1.10287261808656,39.5085868715606,43.9262058713269
"210","47886",1.26584443978047,0,0,0,0,0,0,0
"211","47917",1.26584443978047,0.937375560111837,5.38576746614852,0,0,0,3.59168971559642,0
"212","48100",2.53168887956094,0,0,0,1.0221726967684,0.551436309043281,0,0
"213","48220",2.53168887956094,0,1.19683721469967,0,0,0,2.39445981039762,0
"214","48296",168.357310490803,0.937375560111837,4.78734885879869,3.45309835791028,343.961112462565,0.551436309043281,30.5293625825696,0
"215","49510",2.53168887956094,0,0,0,0,0,0,0
"216","49801",136.711199496291,0,0.598418607349836,0,64.396879896409,0,0.598614952599404,5.49077573391586
"217","49840",22.7851999160485,0,2.39367442939934,0,8.68846792253137,0,1.79584485779821,0
"218","50236",2.53168887956094,0.937375560111837,2.99209303674918,0,2.55543174192099,0,0,0
"219","50452",1.26584443978047,0.937375560111837,1.19683721469967,0,0.511086348384198,0,0.598614952599404,5.49077573391586
"220","50719",1.26584443978047,0,0,0,0,0,0,0
"221","51503",11.3925999580242,1.87475112022367,4.18893025144885,1.72654917895514,14.8215041031417,4.41149047234625,1.19722990519881,0
"222","51543",1.26584443978047,0,0,0,0,0,0,0
"223","51953",2.53168887956094,0.937375560111837,7.77944189554787,0,2.04434539353679,20.9545797436447,10.1764541941899,0
"224","53346",39.2411776331946,0,1.79525582204951,0,13.2882450579892,0,0.598614952599404,0
"225","53409",1.26584443978047,0,0,0,0,0,0.598614952599404,0
"226","55211",1.26584443978047,5.62425336067102,2.39367442939934,8.6327458947757,1.0221726967684,0,4.78891962079523,27.4538786695793
"227","55213",3.79753331934142,0,0,0,1.53325904515259,0,0,0
"228","55513",81.0140441459502,105.923438292638,75.4007445260793,34.5309835791028,33.2206126449729,91.5384273011847,67.6434896437326,5.49077573391586
"229","55577",6.32922219890236,0,0,5.17964753686542,1.0221726967684,0,0,5.49077573391586
"230","55601",1.26584443978047,0,0.598418607349836,0,0.511086348384198,0,0,0
"231","56065",1.26584443978047,0,0.598418607349836,1.72654917895514,0.511086348384198,0.551436309043281,1.79584485779821,0
"232","56458",1.26584443978047,0,0,0,0,0,0.598614952599404,0
"233","58331",7.59506663868283,27.1838912432433,27.5272559380925,18.9920409685065,1.0221726967684,8.27154463564922,15.5639887675845,0
"234","58860",82.2798885857307,0,4.78734885879869,0,54.6862392771092,1.10287261808656,1.79584485779821,0
"235","59689",0,0,0,0,0,0,0,0
"236","59814",20.2535110364876,0,3.59051164409902,0,17.3769358450627,0,8.97922428899106,0
"237","60093",1.26584443978047,0,0,0,0,0,0,0
"238","61459",0,0,0,0,0,0,0,0
"239","61645",2.53168887956094,0,0,1.72654917895514,2.04434539353679,0,0.598614952599404,5.49077573391586
"240","61651",1.26584443978047,0,0,0,10.7328133160682,0,0,0
"241","61652",2.53168887956094,0,0,0,0,0,0.598614952599404,0
"242","62322",10.1267555182438,0,0,0,3.06651809030519,0,0,0
"243","62625",6.32922219890236,14.0606334016775,11.3699535396469,1.72654917895514,8.17738157414717,3.86005416330297,13.1695289571869,0
"244","63103",1.26584443978047,0.937375560111837,0,5.17964753686542,0.511086348384198,0,0.598614952599404,16.4723272017476
"245","63612",764.570041627405,0.937375560111837,0.598418607349836,0,583.14952350637,2.20574523617312,0,5.49077573391586
