	SPD10	SPD3	SPD4	SPD5	SPD6	SPD7	SPD8	SPD9
total_reads	2280627	8160732	1444924	4058520	3619844	2038989	3282782	2379244
varroa_strict	1091	573	698	719	831	781	620	1354
varroa_strict_pct	0.0478377	0.00702143	0.048307	0.0177158	0.0229568	0.0383033	0.0188864	0.0569088
