DirectSMH4,DirectSMH5,DirectSMH6,DirectSMH7,SMH4,SMH5,SMH6,SMH7
358,471,157,285,239,409,160,71
0,0,0,0,0,0,0,0
1618,0,2,2,1623,1,4,11
0,0,0,0,0,1,0,0
0,14,1,2,0,9,1,0
0,0,0,0,1,0,0,0
44,148,135,1210,7,143,66,456
20,1668,419,6820,3,5168,147,1428
10,13,6,10,9,4,8,0
119,13,200,563,51,7,340,77
