DirectSMH4,DirectSMH5,DirectSMH6,DirectSMH7,SMH4,SMH5,SMH6,SMH7
939,994,536,801,802,1442,608,157
0,0,0,0,0,0,0,0
1676,0,3,2,2166,1,5,7
0,0,0,0,0,1,0,0
0,11,1,2,0,12,2,0
0,0,0,0,1,0,0,0
116,402,705,3189,43,1023,399,472
21,1374,483,6669,4,7407,209,1072
34,59,52,52,63,30,69,22
128,13,245,568,72,13,530,56
