Family,Abundance
Myrtaceae,28.1
Cistaceae,16.7
Fabaceae,9.3
Liliaceae,9.1
Oleaceae,5.4
Brassicaceae,4.2
Fagaceae,3.7
Salicaceae,3.6
Araliaceae,3.6
Asteraceae,2.7
Rosaceae,2.2
Verbenaceae,1.9
Boraginaceae,1.9
Rutaceae,1.2
Polygonaceae,1
Unknown,3.7
