Family,Abundance
Liliaceae,37.9
Fabaceae,22.4
Araliaceae,8.8
Salicaceae,6.7
Boraginaceae,5.3
Guttiferae,2.8
Verbenaceae,2.7
Scrophulariaceae,2.4
Lamiaceae,2.2
Cupressaceae,1.6
Oleaceae,1.1
Unknown,1.5
