"","Taxonomic_ID","cluster","df$Taxonomic_ID","Superkingdom","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"13","1267021",4,"1267021","Bacteria",NA,"Proteobacteria","Gammaproteobacteria","Orbales","Orbaceae","Frischella","Frischella perrara"
"15","303541",4,"303541","Bacteria",NA,"Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus apis"
"20","1196095",4,"1196095","Bacteria",NA,"Proteobacteria","Gammaproteobacteria","Orbales","Orbaceae","Gilliamella","Gilliamella apicola"
"22","3469",4,"3469","Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Ranunculales","Papaveraceae","Papaver","Papaver somniferum"
"31","1686310",4,"1686310","Bacteria",NA,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Bartonellaceae","Bartonella","Bartonella apis"
