"","Taxonomic_ID","cluster","df$Taxonomic_ID","Superkingdom","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"5","3928",2,"3928","Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Myrtales","Lythraceae",NA,NA
"22","3602",2,"3602","Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Vitales","Vitaceae",NA,NA
"23","32033",2,"32033","Bacteria",NA,"Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae",NA,NA
"27","4136",2,"4136","Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Lamiales","Lamiaceae",NA,NA
"29","7135",2,"7135","Eukaryota","Metazoa","Arthropoda","Insecta","Lepidoptera","Pyralidae",NA,NA
"32","28843",2,"28843","Eukaryota","Metazoa","Platyhelminthes","Cestoda","Diphyllobothriidea","Diphyllobothriidae",NA,NA
"34","75682",2,"75682","Bacteria",NA,"Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae",NA,NA
