"","Taxonomic_ID","cluster","df$Taxonomic_ID","Superkingdom","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"18","180282",4,"180282","Bacteria",NA,"Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Delftia","Delftia tsuruhatensis"
"20","152509",4,"152509","Bacteria",NA,"Bacteroidetes",NA,NA,NA,NA,"uncultured Bacteroidetes bacterium"
"21","1267021",4,"1267021","Bacteria",NA,"Proteobacteria","Gammaproteobacteria","Orbales","Orbaceae","Frischella","Frischella perrara"
"29","3469",4,"3469","Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Ranunculales","Papaveraceae","Papaver","Papaver somniferum"
"32","99038",4,"99038","Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Asterales","Asteraceae","Glebionis","Glebionis coronaria"
