"","Taxonomic_ID","cluster","df$Taxonomic_ID","Superkingdom","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"18","3932",4,"3932","Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Myrtales","Myrtaceae","Eucalyptus",NA
"24","306405",4,"306405","Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Lamiales","Lamiaceae","Thymbra",NA
"25","3468",4,"3468","Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Ranunculales","Papaveraceae","Papaver",NA
"30","15367",4,"15367","Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Poales","Poaceae","Brachypodium",NA
