Family,Abundance
Asteraceae,26.9
Fabaceae,23.3
Cistaceae,13.9
Brassicaceae,8.6
Salicaceae,4.9
Lamiaceae,2.5
Boraginaceae,2.3
Rhamnaceae,2.2
Rosaceae,2.2
Fagaceae,2.1
Verbenaceae,1.8
Unknown,1.7
