Family,Abundance
Fabaceae,19.8
Salicaceae,13
Myrtaceae,12.4
Oleaceae,8.9
Rosaceae,7.6
Cistaceae,7.5
Brassicaceae,7.2
Rutaceae,4.7
Asteraceae,4.2
Araliaceae,2.4
Lamiaceae,2.3
Verbenaceae,1.8
Liliaceae,1.7
Guttiferae,1.4
Fagaceae,1.4
Unknown,1.3
