"","Taxonomic_ID","cluster","df$Taxonomic_ID","Superkingdom","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"11","22663",3,"22663","Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Myrtales","Lythraceae","Punica","Punica granatum"
"17","29760",3,"29760","Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Vitales","Vitaceae","Vitis","Vitis vinifera"
"18","553",3,"553","Bacteria",NA,"Proteobacteria","Gammaproteobacteria","Enterobacterales","Erwiniaceae","Pantoea","Pantoea ananatis"
"27","1100043",3,"1100043","Viruses",NA,NA,NA,NA,NA,NA,"Apis mellifera filamentous virus"
"29","7137",3,"7137","Eukaryota","Metazoa","Arthropoda","Insecta","Lepidoptera","Pyralidae","Galleria","Galleria mellonella"
"30","99802",3,"99802","Eukaryota","Metazoa","Platyhelminthes","Cestoda","Diphyllobothriidea","Diphyllobothriidae","Spirometra","Spirometra erinaceieuropaei"
